coursename,courseid,accouncementcount,groupdiscussioncount,individualdiscussioncount,sectioncount,assignmentcount,gradedassignmentcount,nongradedassignmentcount,modulecount,wikipagecount,assignmentattachmentcount,courseattachmentcount,groupcount,quizcount,quizquestioncount,externaltoolcount,moduleurlcount,tacount,studentcount
COM 394: Communication Electronic Age (2018 Fall - B),72360000000004077,27,0,37,1,18,18,0,8,39,0,44,0,0,0,3,0,0,29
HCR 241: Fndtions of Integratv Health (2019 Spring),72360000000007398,1,0,2,1,6,6,0,1,12,0,42,0,0,0,0,0,0,0
REA 401: Real Estate Appraisal (2018 Fall),72360000000002381,8,0,20,1,14,14,0,16,11,0,34,0,2,20,2,0,1,52
ECD 565: Appropriate Instructional Methodologies for Young Children (Development - Online),72360000000002326,0,48,8,1,16,16,0,9,29,0,86,13,0,0,4,0,0,0
ART 311: Drawing III (2018 Fall),72360000000004609,5,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,20
Rennell Training Sandbox Canvas,72360000000006309,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
BMD 513: Prin Diag Tech Immunoassays (2019 Spring),72360000000007700,0,0,7,1,19,19,0,6,80,0,11443,0,0,0,3,0,0,0
CRJ 501: Seminar in Criminal Justice (2018 Fall - A),72360000000003085,18,0,9,1,8,8,0,8,16,1,121,0,0,0,3,0,0,36
Import BB Test2,72360000000000014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHM 598: Char Meth (2018 Fall),72360000000004550,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
EXW 284,72360000000005362,1,2,2,1,16,16,0,7,116,0,14,2,0,0,4,6,0,0
 Eva Bautista's Test Course,72360000000000030,10,11,3,3,29,29,0,14,36,0,22,14,0,0,0,1,0,0
ENG 487: Advanced Workshop Poetry (2018 Fall),72360000000004584,2,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,8
Dev-canvas-4-ddevecch,72360000000006353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSY569-aapina1,72360000000001881,1,0,8,1,23,23,0,8,26,0,63,0,0,0,5,0,0,0
ENG 301: Writing for the Professions (2018 Fall - B),72360000000001984,0,0,5,1,12,12,0,10,43,10,30,0,0,0,3,0,0,36
Dev-canvas-4-gladd,72360000000005984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvas Training,72360000000002216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS 468: Comparative Asian foreign Pols (2018 Fall - A),72360000000003423,12,0,2,1,13,13,0,10,57,68,55,0,2,41,0,0,0,31
LIA 101: Student Success in CLAS (2018 Fall),72360000000004009,19,0,12,1,31,31,0,12,22,15,29,0,0,0,0,2,0,23
HST 130: The Historian's Craft (2019 Spring),72360000000006038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIA 294 Topic: Introduction to Liberal Arts and Sciences I""",72360000000000522,11,2,14,1,30,30,0,18,78,0,46,3,0,0,0,16,0,0
Canvas Course Request,72360000000006034,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0
BMY 591: Biomimicry Readings (2019 Spring - A),72360000000006314,5,0,3,1,0,0,0,16,38,0,1647,0,0,0,4,0,0,0
BIO 498: Computing for Research (2018 Fall),72360000000002658,12,0,2,1,63,63,0,2,2,14,4,0,9,37,0,0,1,23
PAF 504: Microecon of Public Policy I (2018 Fall),72360000000002542,10,2,5,1,11,11,0,0,0,18,4,1,0,0,0,0,0,32
STP 226 - Doug Williams,72360000000000412,2,0,1,1,30,30,0,15,144,0,301,0,0,0,0,0,0,0
WPC 594: Job Search Strategies (2018 Fall - DYN),72360000000005388,7,0,0,1,27,27,0,13,22,5,56,0,0,0,5,0,2,30
Nancy Gray Sandbox Course,72360000000001453,1,0,1,1,9,9,0,1,11,0,20,0,0,0,2,0,0,0
KIN 101: Introduction to Kinesiology (2019 Fall),72360000000006242,18,7,2,1,72,72,0,52,128,0,113,8,0,0,4,0,0,0
Carl Putnam's Dev Shell ,72360000000000092,0,0,2,1,24,24,0,0,15,0,22,1,1,10,0,0,0,0
IBC 740: Cost Offset and ROI (2019 Spring - A),72360000000002375,12,3,8,1,13,13,0,8,111,0,467,3,0,0,3,0,0,0
DEV-2019Spring-ASUO-SPA486,72360000000007495,7,0,5,1,16,16,0,33,46,0,72,0,0,0,4,0,0,0
"DEV - REL 207: Ritual, Symbol, and Myth - Online",72360000000005676,2,0,5,1,5,5,0,15,39,0,95,0,0,0,13,0,0,0
COM 263 (2019 Spring C) Elements Intercultural Comm,72360000000005849,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoffrey's Sandbox,72360000000000993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-dndeleon,72360000000006285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSY 350: Social Psychology (2019 Spring),72360000000007848,3,0,2,1,9,9,0,0,0,0,0,0,0,0,0,0,4,0
HDA 494: HIDA Leadership Seminar (2018 Fall),72360000000002414,0,0,0,1,3,3,0,0,0,2,1,0,0,0,0,0,0,11
HST 642: European History (2018 Fall - B),72360000000002947,3,20,7,1,11,10,1,9,30,0,26,4,0,0,3,0,0,36
DEV-CRJ463-MasterCourse,72360000000004975,0,0,7,1,18,18,0,8,20,0,85,0,0,0,3,0,0,0
BMI 201: Intro to Clinical Informatics (2019 Spring - B),72360000000007904,6,0,21,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-awissler,72360000000007096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASU Canvas Training (DEV),72360000000003051,0,0,1,1,2,2,0,2,1,0,2,0,1,1,0,0,0,0
TDM225 Ground Dev,72360000000004912,0,0,3,1,27,27,0,27,63,0,255,0,0,0,3,0,0,0
SWG 502: Macro Human Behav Soc Environ (2018 Fall - B),72360000000006233,3,8,10,9,19,13,6,8,23,1,96,18,0,0,3,0,9,418
COM 323: Comm Approach Popular Culture (2018 Fall),72360000000004162,21,16,6,1,24,24,0,12,28,6,25,20,8,12,0,2,0,29
RED 503: Real Estate Market Analysis (2018 Fall),72360000000002454,9,0,0,1,1,1,0,8,11,3,27,0,0,0,5,0,1,31
KOR 202: Second-Year Korean II (2019 Spring),72360000000006220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
POS 486: Internatl Political Economy (2018 Fall),72360000000004337,5,0,0,1,1,1,0,9,0,0,29,0,1,5,0,0,1,36
Dev-canvas-4-keteske,72360000000006355,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Dev-canvas-4-rquinliv,72360000000007788,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANostas Canvas Sandbox,72360000000006778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Learning Management Systems (DEV),72360000000001773,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0
Canvas Sandbox,72360000000002289,0,0,1,1,3,3,0,2,1,0,0,0,1,1,0,0,0,0
DEV NUR 366 (Spring 2019),72360000000007200,1,0,7,1,17,17,0,71,313,0,931,0,0,0,0,0,0,0
My Summer 537,72360000000008150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNB CEP Faculty Information,72360000000007847,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO 370: Vertebrate Zoology (2019 Spring - A),72360000000008009,38,0,3,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0
CHI101,72360000000005032,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ACC 591: Int Cntrls Audit ,72360000000003715,12,0,0,1,15,15,0,3,18,2,33,35,0,0,5,0,3,95
Success Coaching Center,72360000000000506,1,0,0,1,8,8,0,11,16,0,128,0,1,8,0,0,0,0
PHI 306: Applied Ethics (2018 Fall - B),72360000000003441,4,0,13,1,4,4,0,7,42,0,59,0,1,1,3,0,0,39
LIA 194: DiscvrySem Pets Are Us (2018 Fall - A),72360000000003625,2,0,8,1,18,18,0,10,18,6,19,14,0,0,0,3,0,17
Sandbox-ssthoma6,72360000000002636,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
